NAME,ALC_PERCENTAGE,PRICE,LINK
Teeling Whiskey Dark Porter Cask2022 Release,70cl / 46%,GBP 42.95,https://www.thewhiskyexchange.com//p/67378/teeling-whiskey-dark-porter-cask-2022-release
Flaming Pig Black Cask Irish Whiskey,70cl / 40%,GBP 40.25,https://www.thewhiskyexchange.com//p/67189/flaming-pig-black-cask-irish-whiskey
Writers Tears Ulysses,70cl / 40%,GBP 35.95,https://www.thewhiskyexchange.com//p/67063/writers-tears-ulysses
Bushmills 21 Year Old,70cl / 40%,GBP 200,https://www.thewhiskyexchange.com//p/65397/bushmills-21-year-old
Bushmills 2000 Port CaskCauseway Collection,70cl / 54.1%,GBP 275,https://www.thewhiskyexchange.com//p/62656/bushmills-2000-port-cask-causeway-collection
Knappogue Castle 21 Year Old,70cl / 46%,GBP 170,https://www.thewhiskyexchange.com//p/60933/knappogue-castle-21-year-old
Teeling Stout Cask Finish,70cl / 46%,GBP 41.95,https://www.thewhiskyexchange.com//p/60857/teeling-stout-cask-finish
Bushmills Caribbean Rum Cask Finish,70cl / 40%,GBP 26.75,https://www.thewhiskyexchange.com//p/60012/bushmills-caribbean-rum-cask-finish
Midleton Very Rare Vintage ReleaseBot.2021,70cl / 40%,GBP 335,https://www.thewhiskyexchange.com//p/59246/midleton-very-rare-vintage-release-bot2021
Waterford Grattansbrook 1.1,70cl / 50%,GBP 68.95,https://www.thewhiskyexchange.com//p/58751/waterford-grattansbrook-11
Jameson 18 Year OldBow Street Edition (55.1%),70cl / 55.1%,GBP 190,https://www.thewhiskyexchange.com//p/52668/jameson-18-year-old-bow-street-edition-551
Knappogue Castle 16 Year Old Twin Wood (43%),70cl / 43%,GBP 76.95,https://www.thewhiskyexchange.com//p/50522/knappogue-castle-16-year-old-twin-wood-43
Bushmills Red Bush,70cl / 40%,GBP 29.95,https://www.thewhiskyexchange.com//p/41272/bushmills-red-bush
Knappogue Castle 14 Year OldGift Tube,70cl / 46%,GBP 63.95,https://www.thewhiskyexchange.com//p/40643/knappogue-castle-14-year-old-gift-tube
Dublin Liberties Copper Alley10 Year Old,70cl / 46%,GBP 61.95,https://www.thewhiskyexchange.com//p/37806/dublin-liberties-copper-alley-10-year-old
Bushmills Black Bush,70cl / 40%,GBP 28.95,https://www.thewhiskyexchange.com//p/36818/bushmills-black-bush
Berry Bros & Rudd Classic Irish Single Malt,70cl / 44.2%,GBP 43.95,https://www.thewhiskyexchange.com//p/71574/berry-bros-rudd-classic-irish-single-malt
Bushmills 25 Year OldPort Finish,70cl / 46%,GBP 790,https://www.thewhiskyexchange.com//p/71026/bushmills-25-year-old-port-finish
Jameson United Limited EditionYellow Label,70cl / 40%,GBP 23.95,https://www.thewhiskyexchange.com//p/70057/jameson-united-limited-edition-yellow-label
Sailor's Home Horizon 10 Year OldRum Finish The Island Series,70cl / 43%,GBP 53.95,https://www.thewhiskyexchange.com//p/68239/sailors-home-horizon-10-year-old-rum-finish-the-island-series
Method and Madness Oats & Malt,70cl / 46%,GBP 75.95,https://www.thewhiskyexchange.com//p/67726/method-and-madness-oats-malt
JJ Corry Flintlock 15 Year OldBatch 3,50cl / 46%,GBP 99.95,https://www.thewhiskyexchange.com//p/65806/jj-corry-flintlock-15-year-old-batch-3
The Irishman 12 Year Old2022 Relaunch,70cl / 43%,GBP 76.95,https://www.thewhiskyexchange.com//p/65056/the-irishman-12-year-old-2022-relaunch
The Irishman Single Malt,70cl / 40%,GBP 49.25,https://www.thewhiskyexchange.com//p/65055/the-irishman-single-malt
Ballyhoo Single Grain Whiskey,70cl / 43%,GBP 33.75,https://www.thewhiskyexchange.com//p/64677/ballyhoo-single-grain-whiskey
Sailor's Home The JourneyGlass Set,70cl / 43%,GBP 43.75,https://www.thewhiskyexchange.com//p/64617/sailors-home-the-journey-glass-set
Waterford Gaia Organic 2.1,70cl / 50%,GBP 74.95,https://www.thewhiskyexchange.com//p/61695/waterford-gaia-organic-21
Waterford Luna 1.1 Biodynamic,70cl / 50%,GBP 89.95,https://www.thewhiskyexchange.com//p/61694/waterford-luna-11-biodynamic
Writers Tears Double Oak,70cl / 46%,GBP 48.45,https://www.thewhiskyexchange.com//p/60681/writers-tears-double-oak
West Cork Black Cask,70cl / 40%,GBP 32.45,https://www.thewhiskyexchange.com//p/60564/west-cork-black-cask
Writers Tears Cask StrengthBot.2021,70cl / 54.2%,GBP 116,https://www.thewhiskyexchange.com//p/60015/writers-tears-cask-strength-bot2021
Waterford Sheestown 1.2,70cl / 50%,GBP 66.95,https://www.thewhiskyexchange.com//p/57492/waterford-sheestown-12
McConnell's 5 Year Old Irish Whisky,70cl / 42%,GBP 36.45,https://www.thewhiskyexchange.com//p/56415/mcconnells-5-year-old-irish-whisky
Waterford Gaia Organic 1.1,70cl / 50%,GBP 74.95,https://www.thewhiskyexchange.com//p/56320/waterford-gaia-organic-11
Powers Gold Distiller's Cut,70cl / 43.2%,GBP 29.75,https://www.thewhiskyexchange.com//p/56273/powers-gold-distillers-cut
Two Stacks The First Cut,70cl / 43%,GBP 37.95,https://www.thewhiskyexchange.com//p/55769/two-stacks-the-first-cut
Waterford Ballymorgan 1.1,70cl / 50%,GBP 79.95,https://www.thewhiskyexchange.com//p/55378/waterford-ballymorgan-11
Waterford Ballykilcavan 1.2,70cl / 50%,GBP 66.95,https://www.thewhiskyexchange.com//p/55376/waterford-ballykilcavan-12
